user_id,product_id
8,14268
8,14317
8,14240
8,13975
8,13359
8,13541
32,14034
32,13249
32,13181
32,11282
32,11107
32,11051
32,11253
32,17459
32,17460
32,17440
32,17441
32,12617
8,14542
8,14535
8,17719
8,14544
8,12874
60,14118
60,14851
60,16521
8,13685
55,15130
55,14563
55,14577
55,14561
55,14565
63,14346
63,17831
63,17835
63,13413
63,14345
63,9344
63,9346
63,17816
63,17540
63,17818
63,17541
63,17536
72,17829
72,17594
72,13539
72,14246
72,14340
72,14344
102,9593
102,9577
102,9588
102,9574
102,9590
102,9583
102,9585
102,9589
102,9578
102,9587
102,9582
102,9566
102,9548
102,9350
102,9092
102,9354
102,10172
102,10171
102,10170
102,10169
102,10168
102,10196
102,10177
102,10164
102,10167
102,10157
102,10195
102,10199
102,14419
102,14431
102,11016
102,11025
102,11018
102,16849
102,16850
102,16852
102,16856
102,16982
102,16983
102,16990
102,17012
102,16583
102,16592
102,9541
102,9538
102,9551
102,9550
102,9558
102,9560
102,9543
102,15780
102,15715
102,15261
102,17149
102,16708
102,16710
102,16712
102,14795
102,14796
102,12637
102,17838
102,17836
55,14984
55,16761
55,16760
55,13790
55,17770
55,13932
55,14581
55,14559
55,14628
55,17543
73,9146
73,9156
73,14233
73,14254
73,14569
73,17456
73,13332
73,13444
73,13695
102,12565
102,12561
102,9572
102,13439
102,13440
102,13756
102,11051
102,13603
102,13806
102,14121
102,15334
102,13309
72,14229
72,14227
72,14276
72,13992
72,13487
72,13553
125,17796
125,17795
125,17794
125,17798
125,17230
125,17231
125,17232
125,9415
125,9416
125,9408
125,13430
125,13438
125,13622
125,13310
125,13311
125,13316
125,13358
125,13359
125,13247
125,14111
125,17637
125,14210
125,15905
125,17487
125,17492
125,17549
125,12877
125,12881
125,11235
125,12878
125,14439
125,14438
125,17720
125,14577
55,14276
55,9153
55,14539
55,13393
55,17540
55,17536
55,17537
55,17625
55,14087
55,13534
55,14437
55,14436
55,12651
55,16433
137,17529
137,11082
137,17833
137,17447
137,13047
137,13315
137,14262
137,17449
73,12879
73,9170
73,9149
73,14565
102,15314
102,15317
102,15318
102,15253
102,15254
102,15255
102,15258
102,15259
102,15261
102,15267
102,14969
102,14981
102,14931
102,14631
102,14565
102,9564
102,14019
102,14120
102,14111
102,13575
102,17819
102,12536
102,13739
102,13081
102,13738
102,10273
102,9540
125,17831
125,17835
125,17836
125,17837
125,17838
125,12673
125,9443
125,9441
125,9440
125,9436
125,9435
125,9434
125,9370
125,9378
125,9137
125,9139
125,9141
125,9097
125,9098
125,9117
125,12670
125,12638
125,17443
55,17459
55,14563
55,14561
55,15130
55,17837
55,12636
55,12637
55,12667
55,13614
55,13813
55,14165
55,14038
55,14166
55,14057
55,14557
125,17532
55,14263
55,14289
55,14291
55,14243
94,13489
94,14240
94,14328
94,12855
94,12856
94,12866
94,12867
94,14043
94,9132
94,9133
94,13977
94,14100
94,13670
94,14840
94,14841
94,14163
94,13463
94,9124
94,14177
143,13168
143,13467
143,13620
143,13444
143,17829
143,13257
63,13334
63,9140
63,17775
63,12874
63,11081
63,16447
72,13045
72,13151
72,14109
72,11178
72,11167
85,17480
85,17473
85,17438
78,16720
78,14149
78,14014
137,17637
137,17828
137,12616
137,17638
137,14039
137,12866
137,12867
137,17479
137,17521
137,17440
137,17455
137,9169
78,14559
94,14004
94,13600
94,14029
94,16714
94,16720
94,9198
100,13216
100,13257
100,13146
100,13304
100,13212
100,13315
100,13331
100,13333
100,13334
100,13142
100,13193
100,13200
100,13201
100,13719
100,14029
100,11281
100,11282
100,13611
100,13982
100,13447
100,13649
100,14212
100,13484
100,13554
100,13555
100,14100
100,17632
100,13762
100,14715
100,14716
100,14795
100,17731
100,14382
100,12685
100,17223
100,11109
100,11110
100,11111
100,11225
100,11223
100,11221
100,9353
100,9354
100,9404
100,9416
100,9407
100,9223
100,17759
100,17756
60,17761
60,17760
60,9168
60,9170
60,14649
60,13719
60,13828
105,9138
105,9140
105,9143
105,17227
105,14408
105,13737
105,11100
105,11182
105,11183
105,14724
105,14264
105,14265
105,17634
105,14137
105,12868
105,13361
125,17441
125,17426
125,13541
125,13721
125,13742
125,13743
125,13754
125,13752
125,13756
125,13849
125,13881
125,13902
125,13904
125,13840
125,17627
125,13523
125,13804
125,13981
125,13995
125,14083
125,12948
125,13616
125,13818
125,17632
125,13778
125,13779
125,14096
125,13463
125,14030
125,14104
125,14105
125,13196
125,13232
125,13236
125,14111
125,14854
125,14856
125,14857
125,14861
55,14226
55,14437
55,15133
55,12672
55,9393
55,13258
55,16366
125,17778
125,17787
125,17795
8,14227
102,14193
102,14329
102,14330
102,14354
102,14356
102,14377
102,14349
102,14371
102,17521
102,17455
102,17479
102,10176
102,10177
102,10167
102,10157
102,10023
102,16690
102,16692
102,16694
102,16697
102,16698
102,16699
102,16700
94,9198
94,15154
94,15161
94,10078
94,14668
94,14684
94,14776
94,14777
94,14779
94,14780
94,14783
94,14795
94,14796
94,14797
94,14798
94,14833
94,14838
94,14839
94,14846
94,14832
94,11183
94,11182
94,13047
94,12598
94,12596
84,13448
84,13541
84,13758
84,14007
84,14045
