user_id,product_id,transaction_type
8,14268,2
8,14317,3
8,14240,3
8,13975,4
8,13359,4
8,13541,3
32,14034,3
32,13249,4
32,13181,4
32,11282,1
32,11107,4
32,11051,2
32,11253,2
32,17459,3
32,17460,4
32,17440,1
32,17441,3
32,12617,4
8,14542,2
8,14535,2
8,17719,2
8,14544,2
8,12874,2
60,14118,4
60,14851,1
60,16521,1
8,13685,2
55,15130,1
55,14563,3
55,14577,4
55,14561,1
55,14565,3
63,14346,4
63,17831,1
63,17835,2
63,13413,2
63,14345,4
63,9344,4
63,9346,4
63,17816,4
63,17540,2
63,17818,3
63,17541,1
63,17536,4
72,17829,3
72,17594,3
72,13539,2
72,14246,3
72,14340,2
72,14344,3
102,9593,1
102,9577,2
102,9588,4
102,9574,1
102,9590,1
102,9583,4
102,9585,4
102,9589,2
102,9578,3
102,9587,4
102,9582,3
102,9566,4
102,9548,1
102,9350,3
102,9092,4
102,9354,2
102,10172,4
102,10171,1
102,10170,2
102,10169,1
102,10168,2
102,10196,2
102,10177,1
102,10164,4
102,10167,3
102,10157,3
102,10195,2
102,10199,3
102,14419,3
102,14431,3
102,11016,4
102,11025,2
102,11018,4
102,16849,4
102,16850,4
102,16852,2
102,16856,3
102,16982,4
102,16983,1
102,16990,4
102,17012,4
102,16583,1
102,16592,2
102,9541,1
102,9538,1
102,9551,2
102,9550,1
102,9558,2
102,9560,2
102,9543,3
102,15780,2
102,15715,1
102,15261,4
102,17149,2
102,16708,3
102,16710,4
102,16712,2
102,14795,4
102,14796,4
102,12637,3
102,17838,1
102,17836,1
55,14984,2
55,16761,3
55,16760,3
55,13790,2
55,17770,4
55,13932,1
55,14581,2
55,14559,2
55,14628,4
55,17543,4
73,9146,3
73,9156,3
73,14233,3
73,14254,4
73,14569,3
73,17456,4
73,13332,4
73,13444,1
73,13695,4
102,12565,4
102,12561,2
102,9572,3
102,13439,2
102,13440,2
102,13756,3
102,11051,4
102,13603,4
102,13806,3
102,14121,4
102,15334,1
102,13309,3
72,14229,3
72,14227,2
72,14276,1
72,13992,2
72,13487,4
72,13553,3
125,17796,3
125,17795,2
125,17794,2
125,17798,1
125,17230,3
125,17231,3
125,17232,3
125,9415,3
125,9416,3
125,9408,1
125,13430,4
125,13438,2
125,13622,1
125,13310,3
125,13311,1
125,13316,1
125,13358,2
125,13359,3
125,13247,2
125,14111,3
125,17637,1
125,14210,2
125,15905,2
125,17487,4
125,17492,2
125,17549,1
125,12877,3
125,12881,3
125,11235,2
125,12878,4
125,14439,3
125,14438,2
125,17720,2
125,14577,2
55,14276,4
55,9153,3
55,14539,3
55,13393,3
55,17540,3
55,17536,3
55,17537,2
55,17625,3
55,14087,1
55,13534,4
55,14437,2
55,14436,4
55,12651,3
55,16433,1
137,17529,4
137,11082,3
137,17833,4
137,17447,1
137,13047,4
137,13315,2
137,14262,2
137,17449,1
73,12879,4
73,9170,4
73,9149,3
73,14565,1
102,15314,2
102,15317,1
102,15318,2
102,15253,4
102,15254,1
102,15255,1
102,15258,1
102,15259,3
102,15261,1
102,15267,1
102,14969,2
102,14981,2
102,14931,2
102,14631,1
102,14565,4
102,9564,2
102,14019,3
102,14120,2
102,14111,2
102,13575,3
102,17819,2
102,12536,4
102,13739,4
102,13081,1
102,13738,2
102,10273,2
102,9540,3
125,17831,2
125,17835,1
125,17836,3
125,17837,4
125,17838,2
125,12673,4
125,9443,4
125,9441,2
125,9440,2
125,9436,2
125,9435,2
125,9434,2
125,9370,2
125,9378,1
125,9137,4
125,9139,1
125,9141,2
125,9097,3
125,9098,1
125,9117,2
125,12670,4
125,12638,2
125,17443,3
55,17459,4
55,14563,1
55,14561,4
55,15130,3
55,17837,1
55,12636,2
55,12637,2
55,12667,2
55,13614,1
55,13813,4
55,14165,3
55,14038,3
55,14166,1
55,14057,4
55,14557,3
125,17532,1
55,14263,1
55,14289,1
55,14291,3
55,14243,1
94,13489,3
94,14240,2
94,14328,1
94,12855,3
94,12856,4
94,12866,4
94,12867,2
94,14043,4
94,9132,1
94,9133,3
94,13977,1
94,14100,3
94,13670,2
94,14840,4
94,14841,4
94,14163,3
94,13463,4
94,9124,3
94,14177,4
143,13168,2
143,13467,4
143,13620,1
143,13444,1
143,17829,3
143,13257,4
63,13334,4
63,9140,2
63,17775,4
63,12874,3
63,11081,1
63,16447,1
72,13045,3
72,13151,1
72,14109,4
72,11178,2
72,11167,2
85,17480,2
85,17473,4
85,17438,3
78,16720,4
78,14149,4
78,14014,1
137,17637,4
137,17828,3
137,12616,2
137,17638,3
137,14039,3
137,12866,1
137,12867,2
137,17479,1
137,17521,2
137,17440,2
137,17455,3
137,9169,4
78,14559,2
94,14004,3
94,13600,2
94,14029,4
94,16714,1
